id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset
5orOxu28EM1NigbNLG18nn,Mother Of Sorrow,"4DPoTijG7GCTIvIyRMm89l,1qcVACzI8eTPANkhYtXM8r,0DlST2L7efoM5Lb0uxG3Tx","Beneath an Obsidian Sky,Dan Tucker,Crown Magnetar",2dVvdZFFLmeGrWSAKMZ4Mm,Noctem,2022-11-25,304.444,spotify:track:5orOxu28EM1NigbNLG18nn,13
0FB5RGj1qwh4x8grFbiYDn,Flow,"0Ca8QNi2jA2pemnFC6Rydj,3CJshVeVyOmL8H1RlcXiIX","Bernth,Syncatto",0tJxWTiYYvX7drrvzc2l5G,Flow,2022-12-10,185.503,spotify:track:0FB5RGj1qwh4x8grFbiYDn,14
0pryEgKA3r3AGSfhh6us28,Counter Corruptor,04EzrrhYAQ81Go4FJ0prtu,Blush Response,3hxftuyUdk5YATAVqT1gcP,Hypermania,2022-11-29,315.692,spotify:track:0pryEgKA3r3AGSfhh6us28,15
2fLspcYU2TezhBORSmFYfS,Prescribed Skies,7i2OQnh5CDETdLpdAzzYUL,Carlton Melton,4qs5OjK2CxqZgVmKQ00iVB,Prescribed Skies,2022-12-02,679.04,spotify:track:2fLspcYU2TezhBORSmFYfS,16
4qfQmOEXrgWM5Y8l7w1ufn,A Face Like God,7xy3YVfcucKphjUeALyPFL,Casey Sylvan,7LwieexitL05VVPnIILqH6,A Face Like God,2022-11-29,209.08,spotify:track:4qfQmOEXrgWM5Y8l7w1ufn,17
4bs2CDrrVE8d0rtlTej7H9,On the Line,"1cJ1r7W4A75imINiMVuwmE,1pRMILWpvF1dCXtTzxH8hG","Combustion 96,Jon Howard",57wZfGLCT5YsIZgSSspiC8,On the Line,2023-01-03,200.52,spotify:track:4bs2CDrrVE8d0rtlTej7H9,18
2WvV0bqufQJnx9Vb5e2lR5,In Gehenna,5e2sSh9tBBIL7IPFZP5Lzf,Contrarian,5UfM6SVBvYMzLmaqDfUiO0,In Gehenna,2023-01-06,320.645,spotify:track:2WvV0bqufQJnx9Vb5e2lR5,19
0KNHWS6UyXUe5OcaHdB2n0,Immortal Eyes,"6O0Ij7ccnoQ4DZMVhSMi36,6J7sKyU9WmhEFLHvUt1ZsV","Crown of Madness,Matthew Pancoust",6IKhcNBEA39qyKjSVbCSaF,Immortal Eyes,2022-12-20,251.856,spotify:track:0KNHWS6UyXUe5OcaHdB2n0,20
1vstyF8biFPWuweqEGJZnq,Wither,6wkudvL54bLi0aJVO6jcxe,D-Mad Devil,3IrOXTH3WASAKLQ2kPb79Y,Wither,2022-12-22,276.923,spotify:track:1vstyF8biFPWuweqEGJZnq,21
1H0HP2mqLRJtgfYisSEDWo,Separate Ways (Worlds Apart) [feat. Lzzy Hale],"5P5FTygHyx2G57oszR3Wot,3Nbau9SoiH72jmJdUTqjOY","Daughtry,Lzzy Hale",6q3H4YDdXRgKmXeNEdECrQ,Separate Ways (Worlds Apart) [feat. Lzzy Hale],2023-01-05,316.458,spotify:track:1H0HP2mqLRJtgfYisSEDWo,22
3u99BKGafztR4fZZF9ETl3,Fallen,"1licEe6otups9cVW1Wb5kg,1LAUNbSi4NHJfXGvgOoBFy","Decathect,Waldgeflüster",74nqqhRk7XJpJJnJ1KF2pS,Fallen,2022-12-07,318.735,spotify:track:3u99BKGafztR4fZZF9ETl3,23
5OCByq3qCD9NCocgMWMbAe,Haffmilch Holiday,"2gimLFOH1mSmd8EAjmyQEC,1OkYyMwTFtCIl6Jn664Xtx,3jLCHiuXBTGEEku37TsobP","Decisive Pink,Kate NV,Deradoorian",5oTPM0gYh3jwYQswWWdfV1,Haffmilch Holiday,2022-12-14,255.899,spotify:track:5OCByq3qCD9NCocgMWMbAe,24
0h8AW5uv7fcJYoGKRoQJSS,Eidolon of the Blind,6y5qmA1uc4ehixg5As0Qkq,Defy The Curse,0ptEwyRG7O3D4vpF4CnEmK,Eidolon of the Blind,2022-12-16,182.0,spotify:track:0h8AW5uv7fcJYoGKRoQJSS,25
71rVUrUXY4Q68wT5iWokA1,Demons Of The Past,1ty9gbc3JTAd8Cpz6fgO7h,Depraved Will,4OsdhzjabIltWX4ub56KyW,Demons Of The Past,2022-12-20,303.666,spotify:track:71rVUrUXY4Q68wT5iWokA1,26
67apRpuDfI6vMtl6ZNVbFJ,Your Ghost…(été un),1U58LFQaBX4bS0GIiF0dBn,Destroy//Create,60z2i9Azhj1TRXY43VdSAE,Your Ghost…(été un),2023-01-06,237.277,spotify:track:67apRpuDfI6vMtl6ZNVbFJ,27
1KTz79p2V0CniEJg9i8P9w,Ottoline,6w7wqJo8dY6Q7BWIRFBFX3,Doon Kanda,3gbZKfUH3n2UR9f4i62RB6,Galatea,2022-11-15,232.102,spotify:track:1KTz79p2V0CniEJg9i8P9w,28
6cnNpjzIaVYzbvWxkWvqaI,Comfort In Chaos,3PPxT6AXgPvvajfvP1LQtw,Dream State,11F5Qh9MrB8NrDJ5oWqwFv,Comfort In Chaos,2022-12-09,222.0,spotify:track:6cnNpjzIaVYzbvWxkWvqaI,29
08MNKh3wW761J2QmYz48Ez,Whales in the Pool,0dQEUysd9Angr5JKY9SYTy,Driptorch,7JTVFgaC9jatmW2DHEfBIo,Driptorch,2022-12-24,328.021,spotify:track:08MNKh3wW761J2QmYz48Ez,30
4U4bb1SPGYdXnHbjrjQM77,Scheiss Liebeslieder,0XLUVR6k0D9aLQyaXpoWgp,ENGST,1MzBCOoBzDLIw6QZoFP2nK,Scheiss Liebeslieder,2022-12-21,172.653,spotify:track:4U4bb1SPGYdXnHbjrjQM77,31
2IBm4cXivCZ21hHtlXUMr5,Rotten Fester Decay,3XxDl7CCNLF6uK2Vr8wuc7,Festerdecay,7wwp9Z3gXIlJbjGxKxFWeB,Rotten Fester Decay,2022-12-26,135.946,spotify:track:2IBm4cXivCZ21hHtlXUMr5,32
6pZAkXA1Qk3eFgr65IL3TV,A View of a Distant Place,5ZmGzYAdFAMNsiEH1B0GWB,Filip Dahl,1qhJeEPqWEblBPXOEaDBLk,A View of a Distant Place,2023-01-03,318.482,spotify:track:6pZAkXA1Qk3eFgr65IL3TV,33
0XMtC5E1HJfxXCCrL3sqZz,SHUT THAT DOG UP,4MZnqcyrwP70XrCQqW2jxP,Fret,0xoydO5uOFBrycD7SpawN4,BECAUSE OF THE WEAK,2022-12-07,286.646,spotify:track:0XMtC5E1HJfxXCCrL3sqZz,34
2oRWUNoNZnANgIVXwiu2v1,Columbian Necktie,6rfq3fvUgT8mCyP1NL4H0n,Friendly Jvck,77wkRlH4hNCsZTQZVx3glH,Columbian Necktie,2022-12-17,93.166,spotify:track:2oRWUNoNZnANgIVXwiu2v1,35
