id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
6AmYoiWgdjxz3FDk6QTeof,Put the G in MSG,"3Kzo2BzQIPQW0397gx9rRp,0omQxb8f47nNnrqluBLOuZ","Orions Belte,Øyvind Blomstrøm",4xDecfMFEnNmHmAu8zN7Dq,Øyvind Blomstrøm,2022-04-08,214.72,spotify:track:6AmYoiWgdjxz3FDk6QTeof,2522,0.0573,0.561,0.858,0.636,0.627,-7.959,0.0387,87.527,0.643
50SEXACks5UXzePEk8HABc,OZ Days,1LxdCpPSFpzNBKyQI22aDz,Les Rallizes Dénudés,4WoGTaOwgey3DJGfdzh1dI,The OZ Tapes,2022-04-27,92.906,spotify:track:50SEXACks5UXzePEk8HABc,2523,0.0424,0.157,0.122,0.00633,0.111,-11.84,0.05,130.45,0.249
65gRvgKNx39DcYhszvIyKs,Ozymandias,1mnpQxVqO8q5dMnRzvDzY6,Hibakusha,4qIZpuz8yu1QIV6dpB5c4z,Ozymandias,2022-06-03,198.818,spotify:track:65gRvgKNx39DcYhszvIyKs,2524,1.14e-05,0.507,0.948,0.519,0.168,-5.072,0.0697,109.989,0.181
56qRl4Bc91SiPfaGA0oCZ1,Pack your drugs,20bAxKr0YrCvceZeLqs37e,Nomy,5BMM7R6BWtuDEsdnRvTLKX,Pack your drugs,2022-06-10,223.1,spotify:track:56qRl4Bc91SiPfaGA0oCZ1,2525,0.00118,0.466,0.821,2.3e-05,0.137,-5.636,0.0401,142.006,0.603
4IFCxtVFJB9frxJdwtyKlU,A Work to Stand a Thousand Years,5hoptaRu8ODzliYbFfCsPA,Negative Plane,5k7Jar9kC6Yw7OiWm6Kzas,The Pact,2022-04-30,604.0,spotify:track:4IFCxtVFJB9frxJdwtyKlU,2526,4.91e-06,0.178,0.854,0.915,0.286,-9.229,0.0865,150.797,0.194
6R8JY1SFnbxnII55CONGVq,Paid In Full,6V6MyDcytW48stIykhH937,Skull Fist,2VL3HzxcoEdIqk1eO58s9b,Paid In Full,2022-04-22,334.264,spotify:track:6R8JY1SFnbxnII55CONGVq,2527,0.000145,0.532,0.743,0.389,0.327,-4.639,0.0333,124.029,0.336
7iDxtlSYrdKsCVmTrErFK2,Pain into Power,1GVRgPtEC6sZFqvItIk3eg,Terror,7CPWJgUaNO7fNofHjwuW09,Pain into Power,2022-04-26,53.191,spotify:track:7iDxtlSYrdKsCVmTrErFK2,2528,0.000137,0.321,0.983,2.12e-05,0.0832,-3.35,0.274,129.51,0.473
1mqo3AEOto1d9ilCRTZB3u,Unashamed,"1GVRgPtEC6sZFqvItIk3eg,4jydvvUu5sco7MMA287Jxx,4utmC16OUyzq1AovGFVv0T","Terror,Crystal Pak,Madison Watkins",3T6x9BOBfneEC8xp30Ev3s,Pain into Power,2022-05-06,119.445,spotify:track:1mqo3AEOto1d9ilCRTZB3u,2529,0.000176,0.304,0.977,0.0,0.0783,-2.482,0.15,124.93,0.229
2t2N2WaVlfDhPX483MK3Lc,Palm Slave,3P3quzbMWdn5kalJUa6W5J,Art d'Ecco,0yDKiKCZh0BBFeFSY4kZ3T,Palm Slave,2022-03-09,244.89,spotify:track:2t2N2WaVlfDhPX483MK3Lc,2530,6.09e-05,0.512,0.97,0.839,0.211,-5.143,0.079,130.013,0.33
1Zvbgm8VTc7lhZ5ynXfSKP,Palm Sunday,5fN7QZumpTbySswZyiWKXn,Papercuts,14aHtDxOuoBaz48PgOUyOF,Palm Sunday,2022-03-21,215.266,spotify:track:1Zvbgm8VTc7lhZ5ynXfSKP,2531,0.0443,0.549,0.778,0.0365,0.266,-6.356,0.0312,123.092,0.51
